Anime,Director
Kiki to Lala no Aoi Tori, Masami Hata
Sangokushi Dainibu Choukou Moyu!, Tomoharu Katsumata
Senbon Matsubara,Satoshi Dezaki
Allison and Lillia, Masayoshi Nishida
Attack on Titan: Junior High, Yoshihide Ibata
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin, Daisuke Nishio
Heavy Object, Takashi Watanabe
Sailor Moon Super S Plus - Ami's First Love, Takuya Igarashi
Shimajirou to Niji no Oasis, Isamu Hirabayashi
Oyo Neko Bunyan, Hiroshi Sasagawa
Sailor Moon R Make Up! Sailor Guardians, Harume Kosaka
Galaxy Express 999: Beyond the Diamond Ring, Megumu Ishiguro
Ghost, Mokoppe
Tokyo Majin, Shinji Ishihira
Damekko Doubutsu, Setsuko Shibuichi
Flowering Heart, Shinji Ishihira
Cooking Papa, Toshitaka Tsunoda
Ai Yori Aoshi, Masami Shimoda
Ryoukan-san, Masami Anno
Aoki Densetsu Shoot!, Daisuke Nishio
Plastic Nee-san, Tsutomu Mizushima
Mashiroiro Symphony: The Color of Lovers, Eiji Suganuma
Future GPX Cyber Formula, Mitsuo Fukuda
Magical Shopping Arcade Abenobashi, Hiroyuki Yamaga
Poupelle of Chimney Town, Yuusuke Hirota
Needless, Masayuki Sakoi
Modest Heroes, Akihiko Yamashita
Modest Heroes, Hiromasa Yonebayashi
Modest Heroes, Yoshiyuki Momose
Baribari Densetsu (1986), Takahiro Ikegami
Ninja Girl & Samurai Master 2nd Season, Akitarou Daichi
Ginga Hyouryuu Vifam: Kieta 12-nin, Takeyuki Kanda
Monster Strike the Movie 2: Sora no Kanata, Hiroshi Nishikiori
H2, Hidehito Ueda
Pokemon Sun & Moon, Daiki Tomiyasu
Re:ZERO -Starting Break Time From Zero- 2nd Season, Minoru Ashina
Kokkoku: Moment by Moment, Yoshimitsu Oohashi
Ado: Aitakute,Mana Inoue
Gamers!, Manabu Okamoto
Neppu Kairiku Bushi Road, Masayuki Sakoi
Denki-Gai, Masafumi Sato
Ayatsuri Sakon, Hitoyuki Matsui
Drifting Dragons, Tadahiro Tady Yoshihira
Danball Senki Wars, Naohito Takahashi
Kamisama Kazoku, Kimitoshi Chioka
Mix Master: King of Cards, Soung-Cheol Ko
Galaxy Express 999: Eternal Traveller Emeraldas, Rintarou
Galaxy Express 999: Eternal Traveller Emeraldas, Nobutaka Nishizawa
Saber Marionette J Again, Masami Shimoda
Daddy Long Legs, Kazuyoshi Yokota
Aquarion Evol, Yuusuke Yamamoto
Potemayo, Takashi Ikehata
Sword Art Online: Extra Edition, Tomohiko Itou
Black Jack, Macoto Tezka
Black Jack, Satoshi Kuwabara
OL Kaizou Kouza,Hajime Kamegaki
Kurau: Phantom Memory, Yasuhiro Irie
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?, Keiichirou Kawaguchi
Shin Choubakumatsu Shounen Seiki Takamaru, Satoshi Nishimura
YOASOBI: Yasashii Suisei, Kouhei Kadowaki
The Himalayan Kingdom of Light, Tomoharu Katsumata
Saber Marionette J, Masami Shimoda
Princess Princess, Keitarou Motonaga
Moom, Daisuke Tsutsumi
Moom, Robert Kondo
"Wake Up, Girls! Movie 1: The Shadow of Youth", Yutaka Yamamoto
Record of Lodoss War: Chronicles of the Heroic Knight, Hitoyuki Matsui
STARMYU OVA, Shunsuke Tada
Gingitsune: Messenger Fox of the Gods, Shin Misawa
Midnight occult civil servants, Tetsuya Watanabe
Sangokushi Daisanbu Harukanaru Taichi,Tomoharu Katsumata
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki, Wataru Takahashi
Majestic Prince, Keitarou Motonaga
Shakugan no Shana Specials, Takashi Watanabe
Tatsumi, Eric Khoo
Karl to Fushigi na Tou, Jun Takagi
Planet With, Youhei Suzuki
Tezuka Osamu Monogatari: Boku wa Son Gokuu, Rintarou
Tezuka Osamu Monogatari: Boku wa Son Gokuu, Masami Hata
Mar, Masaharu Okuwaki
UFO Robo Grendizer, Tomoharu Katsumata
Hime-chan no Ribbon, Hatsuki Tsuji
Perrine Monogatari, Shigeo Koshi
Perrine Monogatari, Hiroshi Saito
Casshern Sins, Shigeyasu Yamauchi
Dragon Ball Z Movie 5: Cooler's Revenge, Mitsuo Hashimoto
Dragon Ball Z Movie 5: Cooler's Revenge, Yasuyuki Fuse
Haiyore! Nyaruko-san, Tsuyoshi Nagasawa
Tales of HR, Haruki Kasugamori
Those Who Hunt Elves II, Hiroshi Fukutomi
CB Chara Go Nagai World, Umanosuke Iida
Atashinchi, Akitarou Daichi
Atashinchi, Tetsuo Yasumi
Bucchigiri, Noboru Ishiguro
Bucchigiri, Katsuyoshi Yatabe
Bucchigiri, Kouzou Kusuba
Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar, Akinori Nagaoka
Shi Wan Ge Leng Xiaohua Movie,Heng Yu Lu
Shi Wan Ge Leng Xiaohua Movie, Shu Jie Li
Toufu Kozou, Gisaburou Sugii
Toufu Kozou, Shinmei Kawahara
Legend of Basara, Norihiro Takamoto
Eve: Outsider,Mah
Captain Harlock: Mystery of the Arcadia, Rintarou
Chima: Arifureta Itsuka,Reimi Arakaki
Farewell to Space Battleship Yamato: In the Name of Love, Tomoharu Katsumata
Genshiken: Second Generation OVA, Tsutomu Mizushima
Dragon Ball Z Movie 10: Broly - Second Coming, Shigeyasu Yamauchi
Lemon Angel YJ-ban, Tetsurou Amino
Rockman.EXE Beast+, Takao Kato
Black Clover: Jump Festa 2016 Special, Takashi Noto
Genki Bakuhatsu Ganbaruger, Toshifumi Kawase
The Perfect Insider, Mamoru Kanbe
Digimon Adventure 02 Movie: Diaboromon Strikes Back, Takahiro Imamura
Guilty Crown Kiseki: Reassortment, Tetsurou Araki
The [email protected]: Cinderella Girls, Noriko Takao
Higurashi: When They Cry - Sotsu, Keiichirou Kawaguchi
Dash! Kappei, Masayuki Hayashi
Dash! Kappei, Seitaro Hara
Hatenkou Yuugi, Yoshihiro Takamoto
Little Polar Bear: Shirokuma-kun Gets on a Ship, Masatsugu Arakawa
Sherlock Hound, Kyousuke Mikuriya
Mobile Suit Gundam SEED C.E.73: Stargazer, Susumu Nishizawa
H2O: Footprints in the Sand, Hideki Tachibana
"Sing ""Yesterday"" for Me", Yoshiyuki Fujiwara
Yu Yu Hakusho: The Movie, Noriyuki Abe
Mahjong Hishouden: Naki no Ryuu, Satoshi Dezaki
Gundam Build Divers Re:RISE, Shinya Watada
Ranpou, Takeshi Baba
A Town Where You Live: Tasogare Kousaten, Yasuhiro Yoshiura
A Town Where You Live: Tasogare Kousaten, Hiroshi Kobayashi
Mahoujin Guru Guru Doki Doki Legend, Jun Takagi
Saki: Episode of Side A, Manabu Ono
Captain The Movie, Satoshi Dezaki
Running Boy: Star Soldier no Himitsu,Tameo Kohanawa
Trusty Ginjiro, Koichi Ishiguro
Robotech: The Shadow Chronicles,Tommy Yune
Shin Koihime Musou: Otome Tairan, Nobuaki Nakanishi
Gorillaman, Osamu Sekita
Oh! Edo Rocket, Seiji Mizushima
Haiyore! Nyaruko-san W OVA, Tsuyoshi Nagasawa
Da Capo if, Shinji Ushiro
Brothers Conflict OVA, Atsushi Matsumoto
Psychic Squad, Keiichirou Kawaguchi
Gag Manga Biyori 2, Akitarou Daichi
Ninjaman Ippei, Hideo Takayashiki
Jing: King of Bandits, Hiroshi Watanabe
The Lighthouse,Po Chou Chi
Samurai Harem: Asu no Yoichi, Rion Kujou
Urusei Yatsura Movie 3: Remember My Love, Kazuo Yamazaki
The Thousand Musketeers OVA,Kenichi Kasai
Show By Rock!!#, Takahiro Ikezoe
Lupin III: Green vs Red, Shigeyuki Miya
Turn A Gundam, Yoshiyuki Tomino
The Gymnastics Samurai, Hisatoshi Shimizu
Taisho Baseball Girls, Takashi Ikehata
Lupin III Special 26: Italian Game, Yuuichirou Yano
Legends of the Dark King: A Fist of the North Star Story, Masashi Abe
Our Home's Fox Deity, Yoshiaki Iwasaki
Momokuri, Yoshimasa Hiraike
Hells Angels, Yoshiki Yamakawa
Ikiteirutte Subarashii!,Kimio Yabuki
Sou Xuan Lu Zhi Chen Ling Ji,Han Gusheng
Town Workers,Shunji Iwai
DAOKO: Boku (Re-Arrange),Takashi Ohashi
Hell's Paradise: Jigokuraku PV,Kaori Makita
Photon: The Idiot Adventures, Kouji Masunari
Resident Evil: Degeneration, Makoto Kamiya
Cute High Earth Defense Club LOVE! LOVE! LOVE!, Shinji Takamatsu
"Final Fantasy VII: On the Way to a Smile, Episode: Denzel", Shinji Ishihira
Mahou Tsukai Sally 2, Osamu Kasai
Aoi Kioku: Manmou Kaitaku to Shounen-tachi,Satoshi Dezaki
Kawauso Labo, Hiroshi Namiki
Tears to Tiara, Tomoki Kobayashi
Antarctic Penguin Colors, Mine Ichinose
Iria: Zeiram The Animation, Tetsurou Amino
Golgo 13, Shunji Ooga
Burning Village,Bonjin Nagaki
Cybersix, Toshihiko Masuda
Fafner Exodus, Nobuyoshi Habara
Chou Hatsumei Boy Kanipan, Hiroshi Ishiodori
High-Rise Invasion, Masahiro Takata
Touch: Cross Road - Kaze no Yukue, Gisaburou Sugii
King of Prism: Shiny Seven Stars I - Prologue x Yukinojou x Taiga, Masakazu Hishida
Sasuke, Kiyoshi Onishi
After War Gundam X, Shinji Takamatsu
"Waiting in the Summer: In Our Last Summer in High School, We Await That Summer", Tatsuyuki Nagai
Code: Realize ~Guardian of Rebirth~ Set a thief to catch a thief, Hideyo Yamamoto
Cencoroll, Atsuya Uki
Pig: The Dam Keeper Poems, Erick Oh
Atagoal wa Neko no Mori, Mizuho Nishikubo
Dragon Quest: Dai no Daibouken - Buchiyabure!! Shinsei 6 Daishougun, Nobutaka Nishizawa
Mobile Suit Zeta Gundam: A New Translation II -Lovers-, Yoshiyuki Tomino
Ginga Hyouryuu Vifam: Kachua Kara no Tayori, Takeyuki Kanda
Moomin, Rintarou
Moomin, Masaaki Oosumi
Digimon Adventure 02 Movie: The Golden Digimentals, Shigeyasu Yamauchi
Dirty Pair: With Love From the Lovely Angels, Norio Kashima
Dirty Pair: With Love From the Lovely Angels, Toshifumi Takizawa
Angelic Layer, Hiroshi Nishikiori
Majestic Prince Movie: Kakusei no Idenshiko, Keitarou Motonaga
Galaxy Angel A, Shigehito Takayanagi
Tantei Shounen Kageman, Yorifusa Yamaguchi
Wasurenagumo, Toshihisa Kaiya
Legendary Armor Samurai Troopers: Gaiden, Kazuki Akane
Legendary Armor Samurai Troopers: Gaiden, Mamoru Hamatsu
Muv-Luv Alternative: Total Eclipse, Takayuki Inagaki
Muv-Luv Alternative: Total Eclipse, Masaomi Andou
Boyfriend, Satoshi Dezaki
Boyfriend, Yuusaku Saotome
Robot Carnival,Hiroyuki Kitakubo
Sasameki Koto, Eiji Suganuma
Precarious Woman Executive Miss Black General, Isamu Ueno
Before Green Gables, Katsuyoshi Yatabe
Soar High! Isami, Gisaburou Sugii
Shippu! Iron Leaguer, Tetsurou Amino
YAT Anshin! Uchuu Ryokou, Hitoshi Nanba
Fushigi Yugi OVA, Hajime Kamegaki
Norakuro-kun, Masami Anno
Genius Party,Youji Fukuyama
Genius Party, Shinichirou Watanabe
Dragon Quest: Dai no Daibouken - Tachiagare!! Avan no Shito, Hiroki Shibata
Garo: Vanishing Line, Seong-Hu Park
Garo The Animation, Yuuichirou Hayashi
Tentou Mushi no Uta, Hiroshi Sasagawa
Another World, Tomohiko Itou
Miracle Giants Dome-kun, Takashi Watanabe
Ore wa Chokkaku, Masami Anno
Memory of blue,Mai Yamaguchi
Memory of blue, Akane Hirai
Memory of blue, Ryousuke Yanagida
TUYU: Chuuken Hachi,Dorumizu
Encouragement of Climb: Omoide Present, Yuusuke Yamamoto
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (2018), Takao Kato
Comet in Moominland, Hiroshi Saito
Fist of the North Star: Legend of Yuria, Hidehito Ueda
Desert Punk, Takayuki Inagaki
Shin Atashinchi, Hirofumi Ogura
Kanon, Naoyuki Itou
Kenshi Yonezu: Umi no Yuurei,Ayumu Watanabe
Lupin III: Legend of the Gold of Babylon, Shigetsuga Yoshida
Lupin III: Legend of the Gold of Babylon, Seijun Suzuki
Ado: Yoru no Pierrot (TeddyLoid Remix),Koji Aramaki
Ado: Yoru no Pierrot (TeddyLoid Remix), Kosuke Tsukagawa
Poketoon, Taku Inoue
Masamune-kun's Revenge, Mirai Minato
Senyuu., Yutaka Yamamoto
Ms. Vampire who lives in my neighborhood., Noriaki Akitaya
And you thought there is never a girl online?, Shinsuke Yanagi
Urusei Yatsura, Kazuo Yamazaki
Ojamajo Doremi # Movie, Takuya Igarashi
Napping Princess, Kenji Kamiyama
Lovely Movie: Lovely Muuuuuuuco! 2, Takenori Mihara
Real Girl, Takashi Naoya
Eureka Seven: Navigation ray=out, Tomoki Kyoda
Infinite Stratos 2: One's Summer Memories, Shin Tosaka
Andes Shounen Pepero no Bouken, Kazuhiko Udagawa
Freezing Vibration, Takashi Watanabe
Naruto Movie 3: Guardians of the Crescent Moon Kingdom, Toshiyuki Tsuru
Kiki to Lala no Hakuchouza no Ohime-sama, Masami Hata
Kiki to Lala no Hakuchouza no Ohime-sama, Kanji Akahori
Eve: LEO,Mah
Slow Loop, Noriaki Akitaya
The Vampire Dies in No Time, Hiroshi Koujina
Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Past & Future, Hideki Tachibana
Kiki to Lala no Mamatte Suteki!, Masami Hata
Saint Seiya Movie 2: The Heated Battle of the Gods, Shigeyasu Yamauchi
Future Card Buddyfight Triple D, Shigetaka Ikeda
The Chronicles of Rebecca, Yukiyo Teramoto
Danchi Tomoo, Ayumu Watanabe
Pokemon Movie 5: Heroes - Latias and Latios, Kunihiko Yuyama
Fresh Pretty Cure!, Junji Shimizu
Fresh Pretty Cure!, Akifumi Zako
Chocchan's Story,Hiroko Tokita
Choujin Sentai Baratack, Nobutaka Nishizawa
Ox Tales, Hiroshi Sasagawa
Jungle Emperor Leo Movie, Yoshio Takeuchi
Murder Princess, Tomoyuki Kurokawa
Pro Golfer Saru TV, Junji Nishimura
Heibai Wushuang 2nd Season, Fei Jia
Negima!, Nobuyoshi Habara
Negima!, Nagisa Miyazaki
"The Doraemons: Strange, Sweets, Strange?", Yoshitomo Yonetani
Blade Dance of the Elementalers, Tetsuya Yanagisawa
Pretty Cure All Stars DX2: Kibou no Hikari - Rainbow Jewel wo Mamore!, Takashi Ootsuka
Ninja Girl & Samurai Master 3rd Season, Akitarou Daichi
Dragon Ball Z Movie 7: Super Android 13, Kazuhito Kikuchi
Umisho, Kouichirou Soutome
Juugo Shounen Hyouryuuki Kaizokujima DE! Daibouken, Ryuutarou Nakamura
Street Fighter II: Yomigaeru Fujiwara-kyou - Toki wo Kaketa Fighter-tachi, Hisayuki Toriumi
Gakkou no Kaidan (2005),Yuusaku Saotome
Tsuyoshi Shikkari Shinasai, Shin Misawa
Grisaia: Phantom Trigger, Motoki Tanaka
ef - a tale of memories: Prologue, Shin Oonuma
Doraemon Movie 12: Nobita in Dorabian Nights, Tsutomu Shibayama
TWO-MIX: White Reflection, Kazuya Murata
Anti-Magic Academy: The 35th Test Platoon, Tomoyuki Kawamura
The Comic Artist and His Assistants, Jouji Furuta
Zoids Wild Zero, Takao Kato
Emily of New Moon, Harume Kosaka
Kirakira Pretty Cure a la Mode, Yukio Kaizawa
Kirakira Pretty Cure a la Mode, Kouhei Kureta
The Prince of Tennis II: Hyoutei vs Rikkai - Game of Future, Keiichirou Kawaguchi
"Umi Da! Funade Da! Nikoniko, Pun", Toshio Hirata
Hoero! Bun Bun Movie, Toshio Hirata
Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure, Kozo Kuzuha
Ring ni Kakero 1: Shadow, Toshiaki Komura
Tteodori Kkachi, Bongnam Jo
Tteodori Kkachi, Seung-Gyun Baek
Midoriyama Koukou Koushien-hen, Masashi Ikeda
Star Driver, Takuya Igarashi
Journey to Hiroshima, Tomoharu Katsumata
Tsugumomo, Ryouichi Kuraya
The Diary of a Crazed Family, Yasuhiro Kuroda
SSSS.Gridman, Akira Amemiya
Kinnikuman, Tetsuo Imazawa
Kinnikuman, Takeshi Shirato
Kinnikuman, Takenori Kawada
Kinnikuman, Yasuo Yamayoshi
Paprika (2019),Ryu Kato
The Cockpit, Takashi Imanishi
The Cockpit, Ryousuke Takahashi
Hana Kappa, Kazumi Nonaka
Kiki to Lala no Habatake! Pegasus, Masami Hata
Kiki to Lala no Habatake! Pegasus, Kanji Akahori
Cat Soup, Tatsuo Satou
Tengai Makyou: Ziria Oboro-hen, Yoshio Takeuchi
Radiant, Daiki Fukuoka
Moonlight Mile, Iku Suzuki
Ojamanga Yamada-kun,Hiroyoshi Mitsunobu
Windy Tales, Junji Nishimura
Dragon League, Yoshihiro Takamoto
Fractale, Yutaka Yamamoto
Starlight Promises, Kazuya Murata
Tenchi Muyo! Ryo-Ohki 5, Keitarou Motonaga
Zannen na Ikimono no Jiten,Mariko Tokunaga
Gallery Fake, Akira Nishimori
Gallery Fake, Osamu Yamasaki
Dragon Quest Movie: Your Story, Takashi Yamazaki
Dragon Quest Movie: Your Story, Makoto Hanafusa
Dragon Quest Movie: Your Story, Ryuuichi Yagi
Saint Seiya Movie 4: Warriors of the Final Holy Battle, Masayuki Akehi
Saint Seiya Movie 4: Warriors of the Final Holy Battle, Shigeyasu Yamauchi
Tekken Chinmi, Jutaro Oba
Tekken Chinmi, Hisatarou Ooba
Chironup no Kitsune, Tetsuo Imazawa
Hayate the Combat Butler! Can't Take My Eyes Off You, Youichi Ueda
Danball Senki W, Naohito Takahashi
Donbe Monogatari, Bonjin Nagaki
Kikansha Yaemon: D51 no Daibouken, Takeshi Tamiya
Gozonji! Gekkou Kamen-kun, Yoshio Takeuchi
Holy Knight Light, Tadashi Nakamura
Ghost in the Shell: SAC_2045 Movie, Michihito Fujii
The [email protected] SideM, Takahiro Harada
The [email protected] SideM, Miyuki Kuroki
Candy Candy: Candy no Natsuyasumi, Yoshikatsu Kasai
The Snow Country Prince, Tomoharu Katsumata
Pokemon Movie 13: Zoroark - Master of Illusions, Kunihiko Yuyama
Boku no Boukuugou, Yoshio Takeuchi
Show By Rock!! Mashumairesh!!, Seung-Hui Son
Bodacious Space Pirates, Tatsuo Satou
Armed Girl’s Machiavellism: Badump! A Pleasure Trip with All the Five Swords, Hideki Tachibana
GeGeGe no Kitarou: Youkai Daisensou, Takeshi Shirato
Digimon Tamers, Yukio Kaizawa
Candy Candy, Tetsuo Imazawa
Koi Suru Tenshi Angelique: Kagayaki no Ashita, Susumu Kudou
Castle Town Dandelion, Noriaki Akitaya
#Compass, Shigeyuki Watanabe
#Compass, Tetsuro Kodama
Cooking with Valkyries II, Sun Meng
Cooking with Valkyries II, Naoko Takeichi
Onegai My Melody: Kuru Kuru Shuffle!, Makoto Moriwaki
Flower goddes,Nana Yachi
Ebichu, Makoto Moriwaki
Yarichin Bitch-bu, Ai Yoshimura
No Guns Life, Naoyuki Itou
Child of Kamiari Month, Takana Shirai
Dennou Boukenki Webdiver, Hiroshi Negishi
Happy Lucky Bikkuriman, Gou Koga
Master Hamsters, Tetsuo Imazawa
Saikano, Mitsuko Kase
Chibi Maruko-chan Movie: Italia kara Kita Shounen, Jun Takagi
Web Ghosts PiPoPa, Shinichirou Kimura
"Last Exile: Fam, the Silver Wing", Kouichi Chigira
The Vision of Escaflowne: The Movie, Kazuki Akane
REC Special, Ryuutarou Nakamura
Terra Formars OVA, Hiroshi Hamasaki
Haai Step Jun, Hiroshi Shidara
The Galaxy Railways: A Letter from the Abandoned Planet, Hideaki Ooba
Youkai Watch!, Ryousuke Senbo
Holmes of Kyoto, Tokihiro Sasaki
Tribe Nine,Yuu Aoki
Puchimas! Petit Petit [email protected], Mankyuu
Yamishibai: Japanese Ghost Stories 10th Season,Akira Funada
Yamishibai: Japanese Ghost Stories 10th Season, Kenichi Sugimoto
Dragon Ball Z: Plan to Destroy the Saiyajin, Shigeyasu Yamauchi
Tenjho Tenge, Toshifumi Kawase
Karakuri Circus, Satoshi Nishimura
Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Dai Shuugeki, Masakazu Hashimoto
Crayon Shin-chan Movie 29: Nazo Meki! Hana no Tenkasu Gakuen, Wataru Takahashi
Digimon Adventure 02, Hiroyuki Kakudou
The 8th Son? Are You Kidding Me?, Tatsuo Miura
The TV Show,Kousuke Sugimoto
Knights of Sidonia: Love Woven in the Stars, Tadahiro Tady Yoshihira
Danao Tiangong, Wan Laiming
Cardfight!! Vanguard: Legion Mate, Hatsuki Tsuji
Yokohama Kaidashi Kikou, Takashi Annou
The Day I Became a God, Yoshiyuki Asai
Strain: Strategic Armored Infantry, Tetsuya Watanabe
A-Channel + smile, Manabu Ono
Kenka Banchou Otome: Girl Beats Boys, Noriaki Saitou
Candy.zip,Tomoki Misato
Saint Seiya: Soul of Gold, Jouji Furuta
Tensei Shoya kara Musabori H: Ouji no Honmei wa Akuyaku Reijou, Kishizuki
Hyouge Mono, Kouichi Mashimo
Brynhildr in the Darkness, Kenichi Imaizumi
The [email protected]: Shiny Festa, Atsushi Nishigori
Yu-Gi-Oh! 5D's, Katsumi Ono
Ring Ring Boy,Yoji Kuri
Da Capo Second Season, Munenori Nawa
Shin Getter Robo vs Neo Getter Robo, Jun Kawagoe
Guomin Laogong Dai Huijia 2nd Season, Xiong Ke
Izetta: The Last Witch, Masaya Fujimori
Yumemi no E,Koji Yamamura
Please Twins, Yasunori Ide
Aikatsu on Parade! (2020), Shishou Igarashi
Kaze no Yojimbo, Hayato Date
Ado: Yoru no Pierrot (360° ver.),Koji Aramaki
GeGeGe no Kitarou: Saikyou Youkai Gundan! Nihon Jouriku!!, Yugo Serikawa
Pretty Cure Movie: Miracle Universe, Yukio Kaizawa
Kenritsu Umisora Koukou Yakyuubu-in Yamashita Tarou-kun, Tsutomu Shibayama
Patapata Hikousen no Bouken, Yuuichirou Yano
Underdog, Seong-Yun Oh
Underdog, Chun-Baek Lee
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (Shinsaku), Akira Shigeno
Urusei Yatsura Movie 4: Lum The Forever, Kazuo Yamazaki
Shoukoushi Cedie, Kouzou Kusuba
Usavich, Satoshi Tomioka
"Actually, I Am…", Yasutaka Yamamoto
Shouri Toushu, Hiroki Shibata
Doraemon Movie 9: Nobita's Version of Saiyuki, Tsutomu Shibayama
Muteki Robo Trider G7, Katsutoshi Sasaki
Demon Prince Enma, Mamoru Kanbe
Platinum End, Kazuchika Kise
Platinum End, Hideya Takahashi
Pokemon Movie 19: Volcanion and the Mechanical Marvel, Kunihiko Yuyama
Dirty Pair OVA, Masayoshi Tanidabe
Video Girl AI, Mizuho Nishikubo
Jungle Emperor Leo: Honnouji no Hen, Fumihiro Yoshimura
Kiki to Lala no Hansel to Gretel, Masami Hata
Naruto Movie 2: Legend of the Stone of Gelel, Hirotsugu Kawasaki
Kiss x Sis TV, Munenori Nawa
Uchikubi Gokumon Doukoukai: Futon no Naka kara Detakunai,Shigeru Nagasaka
YOASOBI: Gunjou,Atsushi Makino
Selector Infected WIXOSS, Takuya Satou
Tactics, Hiroshi Watanabe
Please tell me! Galko-chan, Keiichirou Kawaguchi
KINMOZA! Movie: Thank You!!, Munenori Nawa
Eureka Seven AO, Tomoki Kyoda
Chu Feng: Yi Dian Zhi Zi, Sun Meng
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys, Tsutomu Mizushima
.hack//Roots, Kouichi Mashimo
Utakoi, Kenichi Kasai
Legendary Armor Samurai Troopers, Mamoru Hamatsu
FAKE TYPE: Princess, Demondice
Ring ni Kakero 1: Sekai Taikai-hen, Hiroshi Ikehata
PriPara Movie: Minna Atsumare! Prism Tours, Masakazu Hishida
SSSS.Dynazenon, Akira Amemiya
Battle Spirits: Sword Eyes, Masaki Watanabe
Ringing Bell, Masami Hata
Noir, Kouichi Mashimo
The Guyver: Bio-Booster Armor, Koichi Ishiguro
Haikara-san ga Tooru, Kazuyoshi Yokota
Ore no Sora Keiji-hen, Takeshi Shirato
amazarashi: Kyoukaisen,Ykbx
GeGeGe no Kitarou (2018), Kouji Ogawa
Occult Academy, Tomohiko Itou
Gatchaman Crowds Insight: Inbound, Kenji Nakamura
Sumikko Gurashi Movie: Tobidasu Ehon to Himitsu no Ko, Mankyuu
Pokemon Movie 12: Arceus and the Jewel of Life, Kunihiko Yuyama
Kinkyuu Hasshin Saver Kids, Hajime Kamegaki
Someday's Dreamers II Sora, Osamu Kobayashi
Monster Strike The Movie, Shinpei Ezaki
Princess Resurrection OVA, Keiichirou Kawaguchi
Ro-Kyu-Bu! SS, Shinsuke Yanagi
Shigurui: Death Frenzy, Hiroshi Hamasaki
Sore Ike! Anpanman: Anpanman to Yukai na Nakama-tachi, Shunji Ooga
Go! Princess Pretty Cure Movie: Go! Go!! Grand 3-Part Movie!!!, Yukio Kaizawa
The Diary of Tortov Roddle, Kunio Kato
Captain Tsubasa: Road to 2002, Isamu Imakake
Great Conquest: The Romance of the Three Kingdoms,Tomoharu Katsumata
Twin Spica, Tomomi Mochizuki
B't X Neo, Mamoru Hamatsu
Halo Legends, Toshiyuki Kanno
Halo Legends, Shinji Aramaki
Halo Legends, Daisuke Nishio
Halo Legends, Yasushi Muraki
Halo Legends, Tomoki Kyoda
Halo Legends, Kouji Sawai
Halo Legends, Hiroshi Yamazaki
My Neighbors The Yamadas, Isao Takahata
Bakusou Kyoudai Let's & Go!! MAX, Takao Kato
Sore Ike! Anpanman: Yuureisen wo Yattsukero!!, Hiroyuki Yano
Daikyouryuu Jidai, Shotaro Ishinomori
Daikyouryuu Jidai, Hideki Takayama
High School Prodigies Have It Easy Even in Another World!, Shinsuke Yanagi
Urusei Yatsura Movie 6: Always My Darling, Katsuhisa Yamada
Ikebukuro West Gate Park, Tomoaki Koshida
Our Last Crusade or the Rise of a New World, Shin Oonuma
Our Last Crusade or the Rise of a New World, Mirai Minato
Anne of Green Gables, Isao Takahata
